"X","Y","Z","TimeStep1 - temperature"
0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0
0.2,0.0,0.0,-4.560967489103395e-16
0.3,0.0,0.0,-1.8794283259312047e-15
0.4,0.0,0.0,1.5963792787676585e-15
0.5,0.0,0.0,1.2181228248309149e-14
0.6,0.0,0.0,0.0
0.7,0.0,0.0,-4.365984656778443e-15
0.8,0.0,0.0,0.0
0.9,0.0,0.0,4.932397083360717e-16
1.0,0.0,0.0,2.605554660917129e-15
0.2,0.1,0.0,0.024854842912206278
0.3,0.1,0.0,0.19887451708884946
0.4,0.1,0.0,0.5473352751162602
0.5,0.1,0.0,0.9461577518825869
0.6,0.1,0.0,1.1801013804050557
0.7,0.1,0.0,1.1479861235755366
0.8,0.1,0.0,0.8876716106509233
0.9,0.1,0.0,0.47999774531364786
1.0,0.1,0.0,8.38680976518921e-15
0.3,0.2,0.0,0.13953660714042157
0.4,0.2,0.0,1.0162629415895266
0.5,0.2,0.0,2.1058962731327595
0.6,0.2,0.0,2.67096422369334
0.7,0.2,0.0,2.5251040934249747
0.8,0.2,0.0,1.9191150902512017
0.9,0.2,0.0,1.0327573161053374
1.0,0.2,0.0,3.1684724288716375e-14
0.4,0.3,0.0,0.9448431316746332
0.5,0.3,0.0,4.212699824925707
0.6,0.3,0.0,4.906306006214839
0.7,0.3,0.0,4.309911477580985
0.8,0.3,0.0,3.2312162936267423
0.9,0.3,0.0,1.7379871089282968
1.0,0.3,0.0,1.205689263489187e-14
0.5,0.4,0.0,9.999999999999996
0.6,0.4,0.0,7.63517925090275
0.7,0.4,0.0,6.5871621538147815
0.8,0.4,0.0,4.9941020719618585
0.9,0.4,0.0,2.707340462731148
1.0,0.4,0.0,-8.817021187231457e-15
0.5,0.5,0.0,9.999999999999996
0.6,0.5,0.0,10.24547714678859
0.7,0.5,0.0,9.621649094689843
0.8,0.5,0.0,7.541262608876332
0.9,0.5,0.0,4.125714144245179
1.0,0.5,0.0,2.85188539450587e-14
0.5,0.6,0.0,9.999999999999932
0.6,0.6,0.0,13.709938060615604
0.7,0.6,0.0,14.425030795231997
0.8,0.6,0.0,11.522704343374452
0.9,0.6,0.0,6.247278586195405
1.0,0.6,0.0,1.8614739379548454e-14
0.5,0.7,0.0,9.999999999999817
0.6,0.7,0.0,21.095574595404287
0.7,0.7,0.0,23.36544255784795
0.8,0.7,0.0,17.77858707865897
0.9,0.7,0.0,9.175328185785059
1.0,0.7,0.0,1.1002310174035314e-13
0.5,0.8,0.0,10.000000000000039
0.6,0.8,0.0,42.23592612331609
0.7,0.8,0.0,40.0992508660607
0.8,0.8,0.0,26.119855496157427
0.9,0.8,0.0,12.204823530089898
1.0,0.8,0.0,1.0473103865630641e-14
0.6,0.9,0.0,99.99999999999989
0.7,0.9,0.0,63.31194612233175
0.8,0.9,0.0,32.25050811935869
0.9,0.9,0.0,12.919209899587923
1.0,0.9,0.0,1.1216953292129473e-13
0.7,1.0,0.0,100.00000000000023
0.8,1.0,0.0,9.999999999999805
0.9,1.0,0.0,10.000000000000115
1.0,1.0,0.0,10.000000000000119
0.10000000000000002,0.08000000000000002,0.0,0.0
0.11250000000000002,0.09000000000000001,0.0,-2.0257210798136854e-17
0.125,0.1,0.0,-3.514912841926244e-16
0.20000000000000004,0.16000000000000003,0.0,0.0
0.22499999999999998,0.18,0.0,4.0851569329377173e-16
0.24999999999999994,0.19999999999999998,0.0,6.643015294018472e-15
0.30000000000000004,0.24000000000000002,0.0,-6.26881296470638e-15
0.3375,0.27,0.0,-1.1705799794449373e-14
0.37500000000000006,0.30000000000000004,0.0,6.682305611700316e-14
0.4000000000000002,0.3200000000000002,0.0,-3.365289500846863e-14
