"X","Y","Z","TimeStep1 - temperature","TimeStep2 - temperature","TimeStep3 - temperature"
0.0,0.0,0.0,100.00055555555555,100.00037037242798,100.00037037174212
0.3333333333333333,0.0,0.0,133.33404981580688,133.3339078520262,133.33390785107832
0.6666666666666666,0.0,0.0,166.66720016914743,166.66730511703784,166.66730511759505
1.0,0.0,0.0,200.00027777777777,200.00037037088478,200.00037037105625
0.0,0.3333333333333333,0.0,100.00083333333333,100.00055556018519,100.000555558642
0.3333333333333333,0.3333333333333333,0.0,133.3341291806501,133.33397795853077,133.33397795748803
0.6666666666666666,0.3333333333333333,0.0,166.66732913705897,166.66747112320314,166.66747112412273
1.0,0.3333333333333333,0.0,200.00083333333333,200.00111111574074,200.00111111728398
0.0,0.6666666666666666,0.0,100.00083333333333,100.00055556018519,100.000555558642
0.3333333333333333,0.6666666666666666,0.0,133.33411926005846,133.33397729702796,133.33397729610866
0.6666666666666666,0.6666666666666666,0.0,166.66733905765057,166.6674903030804,166.66749030412348
1.0,0.6666666666666666,0.0,200.00083333333333,200.00111111574074,200.00111111728398
0.0,1.0,0.0,100.00027777777778,100.00018518569959,100.00018518552812
0.3333333333333333,1.0,0.0,133.33399029214695,133.33388536473785,133.3338853641809
0.6666666666666666,1.0,0.0,166.6672596928074,166.6674016780299,166.66740167897808
1.0,1.0,0.0,200.00055555555556,200.00074074279834,200.00074074348424
