,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,independent
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1,-0.5,-2.7755575615628914e-17,0.5,0.0,0.0,2.7755575615628914e-17,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,-0.4999999999999999,0.0,0.4999999999999999,0.0,5.551115123125783e-17,8.326672684688674e-17,-8.326672684688674e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
5,0.0,-2.7755575615628914e-17,2.7755575615628914e-17,0.0,0.0,1.3877787807814457e-16,2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,-2.7755575615628914e-17,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,-5.551115123125783e-17,-1.3877787807814457e-16,1.3877787807814457e-16,0.0,-1.6653345369377348e-16,-1.3877787807814457e-16,1.942890293094024e-16,0.0,5.551115123125783e-17,2.7755575615628914e-17,-1.3877787807814457e-16,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
9,0.0,0.0,0.0,0.0,5.551115123125783e-17,-2.7755575615628914e-17,-2.7755575615628914e-17,0.0,0.0,8.326672684688674e-17,-8.326672684688674e-17,0.0,-8.326672684688674e-17,2.7755575615628914e-17,5.551115123125783e-17,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,-5.551115123125783e-17,-2.7755575615628914e-17,1.1102230246251565e-16,0.0,-5.551115123125783e-17,8.326672684688674e-17,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,200.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.551115123125783e-17,2.7755575615628914e-17,8.326672684688674e-17,0.0,0.5,5.551115123125783e-17,-0.5000000000000001,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-8.326672684688674e-17,2.498001805406602e-16,0.0,0.4999999999999999,-8.326672684688674e-17,-0.4999999999999999,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0
