"X","Y","Z","TimeStep1 - temperature field","TimeStep2 - temperature field"
0.0,0.0,0.0,300.0,300.0
1.0,0.0,0.0,350.0,350.0
1.0,0.1,0.0,349.9999999999997,349.9999999999997
0.0,0.1,0.0,303.83124187137116,310.3294989130236
0.1666666666666664,0.0,0.0,300.0,300.0
0.3333333333333325,0.0,0.0,300.0,300.0
0.4999999999999991,0.0,0.0,300.0,300.0
0.6666666666666661,0.0,0.0,300.0,300.0
0.833333333333333,0.0,0.0,300.0,300.0
0.08333333333333318,0.0,0.0,300.0,300.0
0.9166666666666664,0.0,0.0,300.0,300.0
0.7499999999999996,0.0,0.0,300.0,300.0
0.2499999999999995,0.0,0.0,300.0,300.0
0.4166666666666656,0.0,0.0,300.0,300.0
0.5833333333333326,0.0,0.0,300.0,300.0
1.0,0.05000000000000002,0.0,350.0,350.0
0.8333333333333336,0.1,0.0,338.95833424524045,346.6165162225973
0.6666666666666674,0.1,0.0,329.3026069319245,341.87840690484234
0.5000000000000009,0.1,0.0,320.99333756256397,335.845259781991
0.3333333333333339,0.1,0.0,313.996551059175,328.5603565783026
0.166666666666667,0.1,0.0,308.2836388454167,320.0511278137901
0.08333333333333359,0.1,0.0,69.6297870326311,221.66361373689796
0.9166666666666669,0.1,0.0,172.67751269060938,225.59086615442277
0.7500000000000004,0.1,0.0,151.00321026866249,225.10117247998028
0.2500000000000004,0.1,0.0,89.3426311937057,222.41607233985664
0.4166666666666674,0.1,0.0,109.42078098240808,223.34733820160002
0.5833333333333344,0.1,0.0,129.9463322695687,224.29702735571954
0.0,0.04999999999999999,0.0,59.91571666433749,221.455851935363
0.1666666666666667,0.05,0.0,-3.0571438325140926e-13,-9.658760448604605e-14
0.08333333333333331,0.05,0.0,-6.584422279717355e-13,-1.00378821044807e-12
0.8333333333333333,0.05,0.0,-2.1918102184613294e-12,-3.5903214057921303e-12
0.9166666666666666,0.05,0.0,-4.423219845934616e-12,-8.86578004490175e-12
0.6666666666666667,0.05,0.0,-8.253982756227423e-13,-1.092082520321243e-12
0.75,0.05,0.0,4.665573861017306e-13,3.6672558985638894e-13
0.3333333333333333,0.05,0.0,7.084861861014714e-13,9.409663654439282e-13
0.2500000000000001,0.05,0.0,-2.549991032074755e-12,-4.060263793536807e-12
0.5,0.05,0.0,-1.851146900103968e-13,-1.8555589604383653e-13
0.4166666666666666,0.05,0.0,-1.3317177098024354e-12,-2.4590207078013215e-12
0.5833333333333335,0.05,0.0,-2.9393387425825073e-13,-8.225169655500394e-13
