"X","Y","Z","TimeStep1 - temperature","TimeStep2 - temperature","TimeStep3 - temperature"
0.0,0.0,0.0,100.0,100.0,100.0
0.3333333333333333,0.0,0.0,133.33339506149986,133.33333333356208,133.33333333333343
0.6666666666666666,0.0,0.0,166.66660493850046,166.66666666643823,166.66666666666686
1.0,0.0,0.0,200.0,200.0,200.0
0.0,0.3333333333333333,0.0,100.0,100.0,100.0
0.3333333333333333,0.3333333333333333,0.0,133.3333950614999,133.33333333356208,133.33333333333343
0.6666666666666666,0.3333333333333333,0.0,166.66660493850048,166.66666666643832,166.6666666666669
1.0,0.3333333333333333,0.0,200.0,200.0,200.0
0.0,0.6666666666666666,0.0,100.0,100.0,100.0
0.3333333333333333,0.6666666666666666,0.0,133.3333950614999,133.33333333356208,133.33333333333346
0.6666666666666666,0.6666666666666666,0.0,166.66660493850046,166.66666666643826,166.66666666666688
1.0,0.6666666666666666,0.0,200.0,200.0,200.0
0.0,1.0,0.0,100.0,100.0,100.0
0.3333333333333333,1.0,0.0,133.3333950614999,133.33333333356208,133.33333333333348
0.6666666666666666,1.0,0.0,166.66660493850043,166.66666666643823,166.66666666666686
1.0,1.0,0.0,200.0,200.0,200.0
