"X", "Y", "Z", "TimeStep0 - temperature field", "TimeStep1 - temperature field", "TimeStep2 - temperature field", "TimeStep3 - temperature field", "TimeStep4 - temperature field", "TimeStep5 - temperature field", "TimeStep6 - temperature field", "TimeStep7 - temperature field", "TimeStep8 - temperature field", "TimeStep9 - temperature field", "TimeStep10 - temperature field", "TimeStep11 - temperature field", "TimeStep12 - temperature field", "TimeStep13 - temperature field", "TimeStep14 - temperature field", "TimeStep15 - temperature field", "TimeStep16 - temperature field", "TimeStep17 - temperature field", "TimeStep18 - temperature field", "TimeStep19 - temperature field", "TimeStep20 - temperature field", "TimeStep21 - temperature field", "TimeStep22 - temperature field", "TimeStep23 - temperature field", "TimeStep24 - temperature field", "TimeStep25 - temperature field", "TimeStep26 - temperature field", "TimeStep27 - temperature field", "TimeStep28 - temperature field", "TimeStep29 - temperature field", "TimeStep30 - temperature field", "TimeStep31 - temperature field", "TimeStep32 - temperature field", "TimeStep33 - temperature field", "TimeStep34 - temperature field", "TimeStep35 - temperature field", "TimeStep36 - temperature field", "TimeStep37 - temperature field", "TimeStep38 - temperature field", "TimeStep39 - temperature field", "TimeStep40 - temperature field", "TimeStep41 - temperature field", "TimeStep42 - temperature field", "TimeStep43 - temperature field", "TimeStep44 - temperature field", "TimeStep45 - temperature field", "TimeStep46 - temperature field", "TimeStep47 - temperature field", "TimeStep48 - temperature field"
0.0, 0.0, 0.0, 299.9999999999988, 299.99999999999864, 299.99999999999864, 299.9999999999985, 299.99999999999847, 299.99999999999847, 299.99999999999847, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984, 299.9999999999984
1.0, 0.0, 0.0, 349.99999999999875, 349.9999999999987, 349.9999999999985, 349.9999999999985, 349.9999999999985, 349.9999999999985, 349.99999999999847, 349.99999999999847, 349.99999999999847, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984, 349.9999999999984
1.0, 1.0, 0.0, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966, 349.99999999999966
0.0, 1.0, 0.0, 299.99999999999847, 299.99999999999847, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985, 299.9999999999985
0.04761904761904757, 0.0, 0.0, 254.00953613050157, 281.924432950912, 292.54724232428345, 298.46757898076623, 302.0155122804133, 304.1713100158891, 305.48431713541913, 306.2841629229752, 306.77134242180665, 307.06804608072184, 307.24873375242277, 307.35876589103157, 307.42577029991827, 307.4665725105763, 307.49141884289116, 307.50654888135955, 307.5157622264904, 307.5213726341427, 307.5247890550396, 307.52686946175805, 307.5281363114235, 307.5289077509479, 307.5293775138022, 307.52966357269077, 307.5298377662976, 307.5299438403037, 307.53000843334405, 307.5300477668336, 307.5300717186927, 307.5300863040132, 307.53009518564403, 307.53010059405244, 307.53010388746554, 307.53010589296696, 307.5301071142032, 307.53010785786677, 307.5301083107154, 307.5301085864746, 307.53010875439634, 307.53010885665105, 307.5301089189183, 307.53010895683553, 307.5301089799249, 307.53010899398515, 307.53010900254696, 307.5301090077607, 307.5301090109356, 307.53010901286876, 307.53010901404605
0.09523809523809514, 0.0, 0.0, 216.74462074336412, 264.30635587883967, 284.93804350524687, 296.60964019045133, 303.62011244089285, 307.88159483665794, 310.47727101232977, 312.05849040115964, 313.02159448324113, 313.6081453606405, 313.9653445651623, 314.18286551635293, 314.31532550537355, 314.3959867521692, 314.4451050694915, 314.47501539927924, 314.4932291127076, 314.504320237006, 314.5110741042766, 314.5151868266933, 314.5176912413176, 314.51921628764205, 314.5201449542337, 314.5207104594254, 314.52105481995045, 314.52126451593807, 314.52139220887506, 314.5214699666146, 314.52151731665754, 314.52154615014183, 314.52156370809445, 314.52157439988935, 314.52158091058436, 314.52158487522763, 314.52158728947, 314.52158875960623, 314.5215896548357, 314.52159019997964, 314.52159053194106, 314.52159073408683, 314.5215908571823, 314.5215909321402, 314.5215909777853, 314.5215910055808, 314.5215910225064, 314.5215910328132, 314.5215910390897, 314.52159104291144, 314.5215910452388
0.1428571428571427, 0.0, 0.0, 185.56274735275053, 247.67849668991985, 277.50172896137946, 294.65523891931116, 304.9885957472704, 311.27345655902633, 315.10193434391624, 317.43415983727556, 318.85468563809405, 319.7198119483763, 320.2466572803206, 320.56748593479386, 320.76285530780444, 320.8818250616506, 320.9542711681153, 320.9983868241394, 321.0252507837733, 321.0416094199467, 321.05157090390446, 321.05763688308735, 321.0613307202638, 321.06358005739537, 321.06494977595014, 321.0657838567282, 321.06629176452304, 321.0666010515025, 321.0667893896925, 321.06690407694384, 321.06697391496004, 321.06701644234147, 321.06704233909886, 321.06705810875184, 321.0670677115737, 321.06707355914654, 321.0670771199857, 321.0670792883344, 321.0670806087356, 321.06708141278466, 321.0670819024047, 321.0670822005558, 321.06708238211263, 321.0670824926707, 321.0670825599938, 321.06708260099015, 321.06708262595447, 321.0670826411564, 321.0670826504133, 321.06708265605033, 321.0670826594828
0.1904761904761902, 0.0, 0.0, 160.90514002346572, 232.8444024473086, 270.63230612388355, 292.78716764302095, 306.1847296053562, 314.3394119385745, 319.3075227838888, 322.33400331936264, 324.1773714296976, 325.3000078208966, 325.9836689152751, 326.39999146895707, 326.6535118143339, 326.8078923997818, 326.9019017540969, 326.95914822451243, 326.99400811171887, 327.01523581627964, 327.0281622872809, 327.0360337754968, 327.04082706522905, 327.0437459065449, 327.04552331511974, 327.0466056559568, 327.0472647400193, 327.0476660847534, 327.0479104808831, 327.04805930423305, 327.04814992919273, 327.0482051146409, 327.0482387194414, 327.0482591828544, 327.0482716439093, 327.0482792319833, 327.048283852689, 327.04828666643584, 327.0482883798479, 327.0482894232185, 327.04829005857175, 327.0482904454658, 327.0482906810622, 327.04829082452693, 327.0482909118889, 327.0482909650874, 327.0482909974823, 327.04829101720884, 327.0482910292211, 327.0482910365361, 327.04829104099036
0.2380952380952379, 0.0, 0.0, 141.3452403218479, 220.00336507986972, 264.5660722084013, 291.17649656909236, 307.33224462960027, 317.17349937459284, 323.1698626907688, 326.8227325782819, 329.0475901186991, 330.40254531869095, 331.227679038285, 331.7301514663732, 332.03613253189883, 332.22245882919054, 332.3359213469843, 332.40501370337336, 332.4470870676572, 332.4727073720631, 332.48830868763133, 332.4978090045322, 332.50359415850556, 332.50711698882833, 332.5092621924015, 332.51056849949555, 332.511363966281, 332.51184836034173, 332.51214332879084, 332.51232294780823, 332.5124323255785, 332.51249893042245, 332.5125394889855, 332.5125641868447, 332.51257922643657, 332.5125883846931, 332.5125939615505, 332.5125973575396, 332.5125994255039, 332.5126006847765, 332.512601451602, 332.51260191855516, 332.51260220290305, 332.51260237605476, 332.51260248149424, 332.512602545701, 332.5126025847992, 332.51260260860784, 332.51260262310586, 332.51260263193444, 332.5126026373105
0.2857142857142856, 0.0, 0.0, 125.99279214497011, 209.2854457541166, 259.4904109634171, 289.9591820868036, 308.5250887262662, 319.8426777983431, 326.73927717056034, 330.94050994686967, 333.49931181350496, 335.0576229947976, 336.0065893786966, 336.5844689862123, 336.9363688001559, 337.1506570381911, 337.2811468050736, 337.3606077961967, 337.40899507328834, 337.43846019332227, 337.45640278377346, 337.4673288043023, 337.47398213087513, 337.4780336290158, 337.4805007612606, 337.48200310462477, 337.48291794635816, 337.48347503297737, 337.4838142670625, 337.48402084133613, 337.484146633325, 337.48422323349473, 337.4842698786432, 337.4842982828866, 337.4843155794558, 337.4843261120832, 337.48433252585437, 337.48433643147644, 337.48433880977797, 337.4843402580285, 337.4843411399308, 337.4843416769592, 337.484342003979, 337.48434220311526, 337.484342324378, 337.4843423982203, 337.4843424431858, 337.48434247056736, 337.484342487241, 337.4843424973946, 337.4843425035773
