"X","Y","Z","TimeStep1 - u","TimeStep1 - v"
-2.9,0.7611111111110171,0.0,-2.4684212076339755e-05,-1.3621653122180988e-05
-2.872000000000047,0.7720000000000473,0.0,-2.454127738150599e-05,-1.6654154915543054e-05
-2.844000000000094,0.7440000000000946,0.0,-2.5797375413140184e-05,-1.851254006542211e-05
-2.816000000000142,0.7160000000001419,0.0,-2.7074683106398838e-05,-2.033790965414845e-05
-2.788000000000189,0.6880000000001891,0.0,-2.8374273421920514e-05,-2.2159863602460888e-05
-2.760000000000236,0.6600000000002364,0.0,-2.9683582518460484e-05,-2.39949818699783e-05
-2.732000000000389,0.6320000000003891,0.0,-3.0999166434013157e-05,-2.5841749802911493e-05
-2.704000000000459,0.6040000000004594,0.0,-3.231549452475422e-05,-2.7697300712255162e-05
-2.676000000000551,0.5760000000005514,0.0,-3.362984248521991e-05,-2.9558176366570003e-05
-2.648000000000643,0.5480000000006433,0.0,-3.4941032749520235e-05,-3.1422217312024785e-05
-2.620000000000692,0.5200000000006919,0.0,-3.624763946212494e-05,-3.328624215695091e-05
-2.592000000000735,0.4920000000007351,0.0,-3.754845398380471e-05,-3.51489102489062e-05
-2.564000000000795,0.4640000000007946,0.0,-3.884230135841304e-05,-3.70091812012021e-05
-2.536000000000821,0.4360000000008209,0.0,-4.0128287666590695e-05,-3.886514162340498e-05
-2.508000000000803,0.4080000000008032,0.0,-4.1406048383801146e-05,-4.071484213861032e-05
-2.480000000000786,0.3800000000007864,0.0,-4.267550414494033e-05,-4.255677741701648e-05
-2.452000000000768,0.352000000000768,0.0,-4.3935901661876414e-05,-4.439257321295336e-05
-2.42400000000075,0.3240000000007496,0.0,-4.518883117467368e-05,-4.62184459944188e-05
-2.396000000000732,0.2960000000007319,0.0,-4.6434631438895735e-05,-4.8037232524913665e-05
-2.368000000000714,0.2680000000007141,0.0,-4.7671019827902156e-05,-4.984615673706521e-05
-2.340000000000697,0.2400000000006963,0.0,-4.890325073994391e-05,-5.1646490631594935e-05
-2.312000000000613,0.2120000000006126,0.0,-5.013211697992319e-05,-5.344447171549887e-05
