"X","Y","Z","TimeStep1 - u","TimeStep1 - v"
0.5000000000000003,0.5000000000000004,0.0,-3.918619335296263e-09,-0.0001908146868924104
0.8516956117714563,0.4995968835736588,0.0,-1.4122062525719666e-08,-0.00019063330157175387
0.64064072783585,0.5665021293070077,0.0,-1.300351183767604e-08,-0.00020687799515752562
0.2591404243108436,0.1062235261375254,0.0,-5.675847461443173e-09,-5.076893947447461e-05
0.611273613988548,0.3306218936018487,0.0,-8.096695923554276e-09,-0.0001398551981957532
0.1578570374381945,0.6026274926871663,0.0,-1.606109899132571e-08,-0.00021471264383236604
0.9185689746905403,0.8147894180620189,0.0,1.4317585369904965e-08,-0.00024793552907058353
0.1474142522145158,0.6381335179596039,0.0,5.959543527227947e-08,-0.00022180010412275282
0.8937764738624747,0.2591404243108437,0.0,-1.6482648642861925e-08,-0.00011415832204158041
0.4895583688575474,0.8944474831847702,0.0,1.6462628510526382e-08,-0.00025469077528735446
0.6377931626251016,0.8475187344487636,0.0,3.517953325316997e-08,-0.00025111515333769405
0.08130317275417948,0.1850462455587394,0.0,1.4625264714902576e-08,-8.48950007457176e-05
0.09919710483912686,0.9018416128900169,0.0,7.548447720706893e-10,-0.00025523409842583033
0.782611945929174,0.2396917024737427,0.0,1.2048439329694982e-09,-0.00010679052121581505
0.8395617556713044,0.3521832340357358,0.0,6.291292133229402e-09,-0.0001471264256786136
0.6669790278180879,0.4402364567289717,0.0,-3.159212672037724e-09,-0.0001743853985592261
0.8295831790920738,0.8277617148905578,0.0,1.6276225988732032e-10,-0.00024921470127377667
0.8156199719743821,0.9235640093896786,0.0,-1.0648184425175635e-08,-0.00025641246838101585
0.7494791945197191,0.3835570297622031,0.0,-4.9069349867752825e-09,-0.00015728866576767892
0.383557029762203,0.2505208054802808,0.0,3.3713417097002275e-08,-0.00011095077366971316
0.09690112006493495,0.4373163593108478,0.0,4.985547743484162e-09,-0.000173599069971331
0.4373163593108479,0.0969011200649349,0.0,-1.0585515628550566e-08,-4.659175635332578e-05
0.107871615177069,0.4881705662940542,0.0,2.081022942387818e-08,-0.00018764184405415743
0.4373163593108478,0.9030988799350651,0.0,-1.8496051273759443e-09,-0.00025528661109455275
0.9030988799350652,0.4373163593108478,0.0,1.8890117673686364e-08,-0.00017360167860152665
0.2051013279756507,0.2587725219934048,0.0,-2.6850788597865823e-08,-0.00011408654412888577
0.2587725219934043,0.7948986720243494,0.0,-4.201030750985792e-09,-0.0002457809011258863
0.7436091192028318,0.7935581741400249,0.0,2.2652597937678712e-08,-0.0002456151867919368
0.7388501546912529,0.2028059779844256,0.0,-1.2817373968275898e-08,-9.222164543089422e-05
0.2740705582055165,0.197890195297473,0.0,-1.3978225551719453e-08,-9.021695406440542e-05
0.1821230313414318,0.7160028461818913,0.0,-1.0442391728232418e-10,-0.00023529113343499482
0.8021098047025272,0.2740705582055165,0.0,-3.8697216917763807e-08,-0.00011982707771789788
0.8009112169152327,0.7240148400067097,0.0,-3.363778056763428e-09,-0.00023645973959382323
0.4919843088573715,0.4107455438400278,0.0,-2.011715904240598e-08,-0.00016571238571383014
0.57016306137485,0.4502176251015571,0.0,4.8012456169413875e-08,-0.0001772272709164974
0.5499636862978993,0.5763019862801373,0.0,-2.886274419674734e-09,-0.00020911447372828275
0.2428929266012408,0.6328501738615814,0.0,-1.8010145412124235e-08,-0.00022081831968051032
0.650152737372407,0.3537625629175897,0.0,-5.229221685487228e-09,-0.00014761404633110203
0.184895065719098,0.07623373937026151,0.0,-6.3522355697267565e-09,-3.703066421872453e-05
0.07623373937026146,0.8151049342809021,0.0,-3.0443602190613055e-08,-0.00024800197103287816
0.5143854413342684,0.3023208224020741,0.0,-4.896313575888714e-08,-0.00013000953402514612
0.4851827256030948,0.7015866407394444,0.0,1.8491505636894666e-08,-0.00023295273784843516
0.3500379701394862,0.6549912099466619,0.0,-1.3472218894136211e-08,-0.00022500305541892172
0.7007113984741302,0.514556277800662,0.0,-1.5816955239261748e-08,-0.0001944414169425915
0.60889638047222,0.07952071692722767,0.0,4.032563822678153e-09,-3.856566006920668e-05
0.6088963804722197,0.9204792830727724,0.0,1.3037580127630156e-08,-0.00025626653137818744
0.9204792830727723,0.6088963804722196,0.0,-7.170407359232881e-08,-0.00021606298815614225
0.07778480030679491,0.6065472562102564,0.0,2.227811381529663e-08,-0.00021558604623333913
0.34898384031795,0.3543007328548129,0.0,9.88381745807008e-09,-0.00014784829916591026
0.2205041027980567,0.4985539289308527,0.0,-5.049920837519528e-08,-0.00019037967698965717
0.8107644956283568,0.3138034082827386,0.0,2.4197870650903124e-08,-0.00013406974524000497
0.3138491490725998,0.1892406105144238,0.0,3.247988193553548e-08,-8.657469603457087e-05
0.6669822612775597,0.8234287725891045,0.0,5.576551587875339e-09,-0.0002488474112465603
0.7371160807745867,0.1445147701420366,0.0,-2.1724355762532603e-08,-6.769287882087733e-05
