"X","Y","Z","TimeStep1 - temperature","TimeStep2 - temperature","TimeStep3 - temperature","TimeStep4 - temperature","TimeStep5 - temperature","TimeStep6 - temperature","TimeStep7 - temperature","TimeStep8 - temperature","TimeStep9 - temperature","TimeStep10 - temperature","TimeStep11 - temperature","TimeStep12 - temperature","TimeStep13 - temperature","TimeStep14 - temperature","TimeStep15 - temperature","TimeStep16 - temperature","TimeStep17 - temperature"
0.0,0.0,1.0,300.0000000000011,300.0000000000004,300.0000000000012,300.0000000000013,300.0000000000011,300.0000000000045,299.99999999999994,300.00000000000006,300.00000000000165,299.99999999999955,300.00000000000193,300.0000000000014,300.00000000000125,300.0000000000007,300.00000000000176,300.0000000000014,300.00000000000216
0.0,0.0,0.0,300.00000000000256,299.99999999999784,299.999999999998,300.0000000000009,300.0000000000035,299.999999999998,299.99999999999784,300.0000000000009,299.9999999999944,300.0000000000029,299.99999999999847,299.9999999999967,299.99999999999727,300.0000000000001,299.99999999999966,299.9999999999982,299.999999999998
0.0,1.0,1.0,299.9999999999992,300.0000000000009,299.99999999999955,299.99999999999886,299.99999999999966,300.0000000000005,300.00000000000057,300.0000000000007,300.0000000000016,299.99999999999903,299.99999999999994,299.99999999999983,299.99999999999903,300.0000000000005,300.00000000000017,299.99999999999903,299.99999999999926
0.0,1.0,0.0,300.00000000000006,300.0000000000004,300.00000000000034,299.99999999999875,299.99999999999886,300.0000000000005,299.9999999999993,299.9999999999996,300.00000000000125,300.00000000000006,299.9999999999996,299.99999999999983,300.0000000000005,299.99999999999983,300.0,299.99999999999966,300.00000000000074
1.0,0.0,1.0,349.9999999999844,349.9999999999912,349.99999999999335,349.9999999999904,349.99999999998624,350.0000000000046,349.9999999999973,349.9999999999808,350.000000000004,349.999999999998,349.999999999995,349.99999999999835,349.99999999999335,350.0000000000015,350.00000000000443,349.99999999999784,349.9999999999935
1.0,0.0,0.0,350.0000000000011,349.99999999999415,350.0000000000034,350.0000000000092,349.99999999999864,349.99999999999847,350.00000000000045,349.99999999999517,349.99999999999665,350.00000000000193,349.99999999999363,350.0000000000011,349.99999999999994,349.9999999999968,350.00000000000324,349.999999999999,349.99999999999994
1.0,1.0,1.0,349.99999999999864,349.9999999999968,349.99999999999966,350.00000000000045,350.0000000000046,350.00000000000244,350.0000000000015,350.0000000000006,350.0000000000028,350.00000000000193,350.0000000000001,350.0000000000039,350.0000000000036,350.00000000000176,350.00000000000045,350.0000000000026,349.9999999999993
1.0,1.0,0.0,350.00000000000125,349.99999999999943,350.0000000000006,349.9999999999991,350.0000000000014,350.00000000000074,349.9999999999996,350.0000000000014,350.0000000000003,349.9999999999998,350.0000000000016,350.0000000000021,350.00000000000176,350.0000000000006,350.00000000000125,350.0000000000006,350.00000000000045
0.0,0.0,0.08333333333333316,299.9999999999954,300.00000000000233,300.00000000000284,300.0000000000002,299.9999999999962,300.0000000000059,300.000000000004,300.0000000000032,300.0000000000042,299.9999999999982,300.00000000000125,300.00000000000415,300.0000000000053,300.00000000000705,300.0000000000052,300.00000000000387,300.0000000000058
0.0,0.0,0.1666666666666662,300.00000000000335,300.0000000000052,300.0000000000031,300.00000000000324,300.0000000000027,300.0000000000008,300.0000000000012,300.00000000000256,300.0000000000012,300.0000000000031,300.00000000000097,300.0000000000022,300.00000000000284,300.0000000000028,300.0000000000038,300.000000000005,300.0000000000028
0.0,0.0,0.2499999999999993,299.99999999999983,299.9999999999998,299.9999999999996,300.00000000000017,299.9999999999994,299.9999999999996,300.00000000000017,299.9999999999996,299.99999999999994,299.99999999999955,299.99999999999994,299.99999999999983,299.9999999999994,299.99999999999943,299.9999999999997,299.9999999999995,299.99999999999994
0.0,0.0,0.3333333333333324,300.00000000000495,299.9999999999954,300.0000000000081,299.9999999999847,299.99999999999636,300.00000000002063,300.00000000000557,300.00000000001984,299.99999999999636,300.0000000000094,299.99999999999807,300.0000000000062,299.9999999999936,300.0000000000148,300.0000000000212,300.00000000000864,300.00000000002626
0.0,0.0,0.4166666666666654,300.00000000000176,300.0000000000124,299.99999999998266,300.00000000002757,300.00000000000904,299.9999999999892,300.00000000000233,299.9999999999785,300.00000000000676,299.99999999999756,300.0000000000185,300.00000000000017,300.0000000000055,299.9999999999888,299.9999999999884,300.0000000000069,299.9999999999804
0.0,0.0,0.4999999999999986,300.00000000000256,300.00000000000057,300.00000000000676,299.9999999999911,299.99999999999693,300.00000000000887,300.0000000000041,300.0000000000035,300.00000000000085,300.0000000000029,300.00000000000176,300.0000000000001,299.9999999999979,300.00000000000074,300.0000000000026,300.00000000000387,300.0000000000083
0.0,0.0,0.5833333333333316,300.00000000002257,300.0000000000333,300.0000000000032,300.00000000002365,300.00000000000625,300.0000000000124,300.00000000001165,299.99999999993133,300.0000000000173,299.99999999999835,300.0000000000126,299.9999999999749,300.0000000000792,299.9999999999886,299.9999999999606,299.99999999999375,299.9999999999435
0.0,0.0,0.6666666666666646,299.9999999999989,300.0000000000003,300.0000000000005,300.0000000000011,299.99999999999943,299.99999999999983,299.99999999999943,299.99999999999994,299.99999999999994,299.99999999999955,299.9999999999993,299.99999999999875,299.9999999999983,299.9999999999993,299.99999999999955,299.9999999999997,299.9999999999985
0.0,0.0,0.7499999999999983,300.0000000000132,300.0000000000097,299.99999999999284,300.0000000000145,299.9999999999916,299.9999999999995,300.0000000000187,299.9999999999865,300.0000000000125,299.99999999998744,299.9999999999796,299.9999999999855,300.00000000000085,300.0000000000082,300.0000000000028,300.0000000000012,299.99999999997743
0.0,0.0,0.8333333333333321,299.99999999997726,299.9999999999908,300.0000000000061,299.99999999999574,300.0000000000132,300.0000000000014,299.99999999996567,300.00000000003234,299.99999999996817,300.00000000000415,300.00000000002746,300.0000000000176,299.9999999999945,299.9999999999757,299.9999999999933,299.9999999999944,300.00000000003
0.0,0.0,0.9166666666666662,300.0000000000045,299.99999999999665,299.99999999999955,299.9999999999994,299.9999999999944,300.00000000000546,300.0000000000017,299.9999999999986,300.0000000000115,299.9999999999985,300.000000000006,300.0000000000043,300.0000000000066,300.0000000000113,300.0000000000093,300.00000000000665,300.0000000000089
0.0,0.08333333333333316,1.0,300.00000000000017,300.0000000000002,300.0000000000001,300.00000000000045,300.00000000000045,299.9999999999997,299.9999999999999,299.9999999999999,299.99999999999966,300.0000000000007,300.0000000000001,300.0000000000002,300.00000000000034,300.0000000000003,300.00000000000057,300.0000000000007,300.0000000000002
0.0,0.1666666666666662,1.0,299.9999999999903,299.99999999999454,300.00000000000944,299.9999999999974,300.00000000001245,299.9999999999946,299.99999999999164,300.00000000000466,299.9999999999925,300.0000000000049,300.0000000000141,300.00000000001,300.00000000001137,299.9999999999963,300.00000000000125,300.0000000000031,300.0000000000169
