Element,Facet,X1,Y1,X2,Y2,time_step_0 - q''x,time_step_0 - q''y,time_step_0 - q'',time_step_1 - q''x,time_step_1 - q''y,time_step_1 - q''
10,1,0.7333333333333333,0.0,0.7333333333333333,0.06666666666666668,-0.0,-0.25,0.25,-0.0,-0.25,0.25
10,2,0.7333333333333333,0.06666666666666668,0.6666666666666666,0.06666666666666668,100000000000000.22,0.0,100000000000000.22,100000000000000.22,0.0,100000000000000.22
10,3,0.6666666666666666,0.06666666666666668,0.6666666666666666,0.0,0.0,-0.125,0.125,0.0,-0.125,0.125
11,0,0.7333333333333333,0.0,0.8,0.0,99999999999999.98,-0.0,99999999999999.98,99999999999999.98,-0.0,99999999999999.98
11,1,0.8,0.0,0.8,0.06666666666666668,-0.0,-0.09375,0.09375,-0.0,-0.09375,0.09375
11,2,0.8,0.06666666666666668,0.7333333333333333,0.06666666666666668,100000000000000.05,0.0,100000000000000.05,100000000000000.05,0.0,100000000000000.05
11,3,0.7333333333333333,0.06666666666666668,0.7333333333333333,0.0,0.0,-0.03125,0.03125,0.0,-0.03125,0.03125
12,0,0.8,0.0,0.8666666666666667,0.0,100000000000000.12,0.3330669073875473,100000000000000.12,100000000000000.11,0.33306690738754735,100000000000000.11
12,1,0.8666666666666667,0.0,0.8666666666666667,0.06666666666666668,0.0,0.078125,0.078125,0.0,0.078125,0.078125
12,2,0.8666666666666667,0.06666666666666668,0.8,0.06666666666666668,99999999999999.95,-0.3330669073875468,99999999999999.95,99999999999999.95,-0.3330669073875468,99999999999999.95
12,3,0.8,0.06666666666666668,0.8,0.0,-0.0,0.09375,0.09375,-0.0,0.09375,0.09375
13,0,0.8666666666666667,0.0,0.9333333333333332,0.0,100000000000000.14,-0.0,100000000000000.14,100000000000000.14,-0.0,100000000000000.14
13,1,0.9333333333333332,0.0,0.9333333333333332,0.06666666666666668,0.0,0.1171875,0.1171875,0.0,0.1171875,0.1171875
13,2,0.9333333333333332,0.06666666666666668,0.8666666666666667,0.06666666666666668,100000000000000.12,0.0,100000000000000.12,100000000000000.12,0.0,100000000000000.12
13,3,0.8666666666666667,0.06666666666666668,0.8666666666666667,0.0,0.0,-0.109375,0.109375,0.0,-0.109375,0.109375
14,0,0.9333333333333332,0.0,1.0,0.0,100000000000000.12,-0.3330669073875474,100000000000000.12,100000000000000.12,-0.3330669073875474,100000000000000.12
14,1,1.0,0.0,1.0,0.06666666666666668,0.0,0.09375,0.09375,0.0,0.09375,0.09375
14,2,1.0,0.06666666666666668,0.9333333333333332,0.06666666666666668,100000000000000.28,0.3330669073875479,100000000000000.28,100000000000000.28,0.3330669073875479,100000000000000.28
14,3,0.9333333333333332,0.06666666666666668,0.9333333333333332,0.0,0.0,-0.0625,0.0625,0.0,-0.0625,0.0625
15,0,0.0,0.06666666666666668,0.06666666666666668,0.06666666666666668,99999999999999.77,-0.0,99999999999999.77,99999999999999.75,-0.0,99999999999999.75
15,1,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.13333333333333333,0.0,0.625,0.625,0.0,0.625,0.625
15,2,0.06666666666666668,0.13333333333333333,0.0,0.13333333333333333,100000000000000.0,0.0,100000000000000.0,100000000000000.0,0.0,100000000000000.0
15,3,0.0,0.13333333333333333,0.0,0.06666666666666668,-0.0,0.25,0.25,-0.0,0.25,0.25
16,0,0.06666666666666668,0.06666666666666668,0.13333333333333333,0.06666666666666668,99999999999999.77,-0.0,99999999999999.77,99999999999999.75,-0.0,99999999999999.75
16,1,0.13333333333333333,0.06666666666666668,0.13333333333333333,0.13333333333333333,0.0,0.75,0.75,0.0,0.75,0.75
16,2,0.13333333333333333,0.13333333333333333,0.06666666666666668,0.13333333333333333,99999999999999.77,0.0,99999999999999.77,99999999999999.75,0.0,99999999999999.75
16,3,0.06666666666666668,0.13333333333333333,0.06666666666666668,0.06666666666666668,-0.0,0.75,0.75,-0.0,0.75,0.75
17,0,0.13333333333333333,0.06666666666666668,0.2,0.06666666666666668,99999999999999.62,-0.0,99999999999999.62,99999999999999.62,-0.0,99999999999999.62
17,1,0.2,0.06666666666666668,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
17,2,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,99999999999999.38,0.0,99999999999999.38,99999999999999.38,0.0,99999999999999.38
17,3,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666668,-0.0,0.25,0.25,-0.0,0.25,0.25
18,0,0.2,0.06666666666666668,0.26666666666666666,0.06666666666666668,99999999999999.77,-0.0,99999999999999.77,99999999999999.75,-0.0,99999999999999.75
18,1,0.26666666666666666,0.06666666666666668,0.26666666666666666,0.13333333333333333,-0.0,-0.0625,0.0625,-0.0,-0.0625,0.0625
18,2,0.26666666666666666,0.13333333333333333,0.2,0.13333333333333333,99999999999999.88,0.0,99999999999999.88,99999999999999.88,0.0,99999999999999.88
18,3,0.2,0.13333333333333333,0.2,0.06666666666666668,0.0,-0.125,0.125,0.0,-0.125,0.125
19,0,0.26666666666666666,0.06666666666666668,0.3333333333333333,0.06666666666666668,100000000000000.38,-0.0,100000000000000.38,100000000000000.38,-0.0,100000000000000.38
19,1,0.3333333333333333,0.06666666666666668,0.3333333333333333,0.13333333333333333,0.0,0.25,0.25,0.0,0.25,0.25
19,2,0.3333333333333333,0.13333333333333333,0.26666666666666666,0.13333333333333333,100000000000000.31,0.0,100000000000000.31,100000000000000.31,0.0,100000000000000.31
19,3,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.06666666666666668,-0.0,0.125,0.125,-0.0,0.125,0.125
