"X","Y","Z","TimeStep1 - u","TimeStep1 - v"
1.1,0.2,0.0,-0.00012818771469854778,-0.00010472615457721577
1.9,0.8,0.0,-0.00015596040213199057,-4.9974673900264e-05
1.8,0.9,0.0,-0.00016038968243199106,-5.662576908734103e-05
-1.8,0.1,0.0,-0.00015446490737186335,-5.8931532639247645e-05
-1.9,0.2,0.0,-0.00014821470387017599,-4.99667852249432e-05
-1.1,0.8,0.0,-0.00012525557212330504,-0.00010306068484124124
-1.2,0.9,0.0,-0.00012045080589196206,-9.662918556970481e-05
2.1,0.8,0.0,-0.00015543961430906298,-3.9051004639793435e-05
2.8,0.1,0.0,-0.00012171518466668225,-5.003204982616658e-06
-2.1,0.8,0.0,-0.00012234860920552938,-3.924996130471302e-05
-2.8,0.1,0.0,-0.00015880204781389853,-4.601149325392939e-06
2.1,1.0,0.0,-0.00016600027320183368,-3.9126260605801226e-05
3.0,0.1,0.0,-0.00012188221125298178,2.727243703578019e-06
-2.1,1.0,0.0,-0.00011528512218752825,-3.908390205781842e-05
-3.0,0.1,0.0,-0.00015853540353174362,3.6789072568011823e-06
2.2,-0.1,0.0,-0.00011327202587990064,-2.7382340799562148e-05
2.1,-0.2,0.0,-0.00010959334781129088,-3.063739361820343e-05
2.9,-0.8,0.0,-8.648398512641488e-05,-1.0964650274908684e-06
2.8,-0.9,0.0,-8.343718718715531e-05,-3.824923965475163e-06
2.2,-1.1,0.0,-7.937010958735508e-05,-1.4209896389777213e-05
2.1,-1.2,0.0,-7.83342656588696e-05,-1.4714103583429452e-05
2.9,-1.8,0.0,-6.534933368499106e-05,2.606489021498524e-08
2.8,-1.9,0.0,-6.46812048328422e-05,-3.4586153001667707e-07
-2.2,-0.1,0.0,-0.00016802764254550363,-2.777007862211975e-05
-2.1,-0.2,0.0,-0.0001722387971648942,-3.155246440211242e-05
-2.9,-0.8,0.0,-0.00019612403719526103,-6.940645531044839e-07
-2.8,-0.9,0.0,-0.00019926801227409965,-3.5332486395619605e-06
-2.9,-1.8,0.0,-0.0002180502136985467,6.528826313977074e-08
-2.8,-1.9,0.0,-0.00021877192325411374,-3.5568017562209654e-07
-2.2,-1.1,0.0,-0.0002035757532147204,-1.4639081520879663e-05
-2.1,-1.2,0.0,-0.0002046600945585493,-1.5206192119222445e-05
0.1279999999999465,0.2279999999999466,0.0,-0.0001360649810334901,-0.0001344449687788581
0.1559999999999107,0.2559999999999106,0.0,-0.0001363925526231048,-0.00013404023035959133
0.183999999999882,0.283999999999882,0.0,-0.00013675447281875385,-0.00013357310982141732
0.2119999999998174,0.3119999999998174,0.0,-0.00013714543500592747,-0.00013307669900187346
0.2399999999997441,0.3399999999997441,0.0,-0.00013755530093891046,-0.00013254415033711424
0.267999999999637,0.367999999999637,0.0,-0.00013798810244252904,-0.00013199067359419183
0.2959999999995386,0.3959999999995386,0.0,-0.00013845324102797628,-0.00013140683621325352
0.3239999999994616,0.4239999999994616,0.0,-0.0001389366295862594,-0.0001307959912278433
0.3519999999993805,0.4519999999993805,0.0,-0.000139446821163649,-0.00013015909847500126
0.3799999999992942,0.4799999999992942,0.0,-0.00013998170279952296,-0.00012949545757090606
0.4079999999992026,0.5079999999992025,0.0,-0.00014053853845793224,-0.00012880500205598116
0.4359999999991054,0.5359999999991054,0.0,-0.00014111731129726247,-0.0001280890351317278
0.4639999999991397,0.5639999999991396,0.0,-0.00014171409387750088,-0.00012734807455732353
0.4919999999992186,0.5919999999992186,0.0,-0.00014232481418096935,-0.00012658304314368157
0.5199999999992954,0.6199999999992953,0.0,-0.00014295231904631772,-0.0001257951300753148
0.5479999999993856,0.6479999999993855,0.0,-0.00014359395682034148,-0.00012499035129744435
0.5759999999994883,0.6759999999994881,0.0,-0.0001442441867869836,-0.00012416640795124393
0.6039999999995774,0.7039999999995774,0.0,-0.0001449025145887845,-0.00012332433377458272
0.6319999999996347,0.7319999999996347,0.0,-0.00014556395040674335,-0.00012246728703678263
0.6599999999996919,0.759999999999692,0.0,-0.00014622704972803166,-0.00012159775820158493
0.6879999999997494,0.7879999999997493,0.0,-0.00014689021978238234,-0.0001207163487047699
0.7159999999998066,0.8159999999998064,0.0,-0.000147546046935214,-0.0001198201768413336
0.7439999999998639,0.8439999999998637,0.0,-0.00014816646798508146,-0.00011889817226458477
0.7719999999999211,0.8719999999999211,0.0,-0.0001487212110572849,-0.00011794836247067505
0.7611111111111774,0.9,0.0,-0.0001481341196268878,-0.00011803866022142467
0.7222222222223885,0.9,0.0,-0.0001473073076617765,-0.00011898656795759505
0.6833333333335465,0.9,0.0,-0.0001465391022298261,-0.00012000428914472457
0.6444444444447649,0.9,0.0,-0.00014577780822485627,-0.0001210697372932247
0.6055555555560048,0.9,0.0,-0.0001450435640845726,-0.00012216624037006648
0.5666666666673027,0.9,0.0,-0.000144321276430866,-0.00012328867470017576
0.52777777777855,0.9,0.0,-0.0001436174073453616,-0.00012441599650986758
0.4888888888897357,0.9,0.0,-0.00014292925327557196,-0.00012554328560148323
