Element,Facet,X1,Y1,X2,Y2,time_step_0 - q''x,time_step_0 - q''y,time_step_0 - q'',time_step_1 - q''x,time_step_1 - q''y,time_step_1 - q'',time_step_2 - q''x,time_step_2 - q''y,time_step_2 - q'',time_step_3 - q''x,time_step_3 - q''y,time_step_3 - q'',time_step_4 - q''x,time_step_4 - q''y,time_step_4 - q''
0,0,0.0,0.0,0.06666666666666668,0.0,99.70114575397837,-1.9428902930940243e-12,99.70114575397837,99.99885884379096,-2.4980018054066026e-12,99.99885884379096,99.99999542080593,-1.6653345369377348e-12,99.99999542080593,99.9999999815181,-1.2212453270876722e-12,99.9999999815181,99.99999999992949,-2.3314683517128287e-12,99.99999999992949
0,1,0.06666666666666668,0.0,0.06666666666666668,0.06666666666666668,99.70114575397837,-1.8873791418627657e-12,99.70114575397837,99.99885884379096,-2.4424906541753444e-12,99.99885884379096,99.99999542080593,-1.7763568394002505e-12,99.99999542080593,99.9999999815181,-1.2212453270876722e-12,99.9999999815181,99.9999999999297,-2.220446049250313e-12,99.9999999999297
0,2,0.06666666666666668,0.06666666666666668,0.0,0.06666666666666668,99.7011457539786,-1.8873791418627657e-12,99.7011457539786,99.99885884379108,-2.4980018054066026e-12,99.99885884379108,99.99999542080606,-1.6653345369377348e-12,99.99999542080606,99.99999998151813,-1.1657341758564144e-12,99.99999998151813,99.99999999992993,-2.3314683517128287e-12,99.99999999992993
0,3,0.0,0.06666666666666668,0.0,0.0,99.70114575397837,-1.9984014443252814e-12,99.70114575397837,99.99885884379096,-2.775557561562892e-12,99.99885884379096,99.99999542080593,-1.8873791418627657e-12,99.99999542080593,99.9999999815181,-1.2212453270876722e-12,99.9999999815181,99.9999999999297,-2.55351295663786e-12,99.9999999999297
1,0,0.06666666666666668,0.0,0.13333333333333333,0.0,99.6613213335726,-2.1094237467877966e-12,99.6613213335726,99.99868397800249,-2.3869795029440866e-12,99.99868397800249,99.99999470988692,-1.8873791418627657e-12,99.99999470988692,99.99999997864549,-2.220446049250313e-12,99.99999997864549,99.99999999991826,-1.8318679906315083e-12,99.99999999991826
1,1,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666668,99.66132133357245,-2.220446049250313e-12,99.66132133357245,99.99868397800243,-2.3869795029440866e-12,99.99868397800243,99.99999470988674,-1.9984014443252814e-12,99.99999470988674,99.99999997864501,-2.720046410331633e-12,99.99999997864501,99.99999999991826,-1.6653345369377348e-12,99.99999999991826
1,2,0.13333333333333333,0.06666666666666668,0.06666666666666668,0.06666666666666668,99.66132133357237,-2.1094237467877966e-12,99.66132133357237,99.99868397800243,-2.3869795029440866e-12,99.99868397800243,99.99999470988674,-1.8873791418627657e-12,99.99999470988674,99.99999997864452,-2.220446049250313e-12,99.99999997864452,99.99999999991854,-1.8318679906315083e-12,99.99999999991854
1,3,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,99.66132133357245,-1.7763568394002505e-12,99.66132133357245,99.99868397800243,-2.3314683517128287e-12,99.99868397800243,99.99999470988674,-1.7763568394002505e-12,99.99999470988674,99.99999997864501,-1.6098233857064768e-12,99.99999997864501,99.99999999991826,-1.887379141862766e-12,99.99999999991826
2,0,0.13333333333333333,0.0,0.2,0.0,99.62592630522677,-3.1086244689504383e-12,99.62592630522677,99.99852410611106,-3.05311331771918e-12,99.99852410611106,99.99999405722326,-2.8310687127941488e-12,99.99999405722326,99.99999997600595,-3.5527136788005017e-12,99.99999997600595,99.99999999990949,-2.609024107869118e-12,99.99999999990949
2,1,0.2,0.0,0.2,0.06666666666666668,99.62592630522649,-3.6082248300317596e-12,99.62592630522649,99.99852410611076,-3.4416913763379853e-12,99.99852410611076,99.99999405722299,-3.2751579226442118e-12,99.99999405722299,99.99999997600584,-3.7747582837255314e-12,99.99999997600584,99.99999999990911,-3.164135620181696e-12,99.99999999990911
