"X","Y","Z","TimeStep1 - temperature","TimeStep2 - temperature","TimeStep3 - temperature","TimeStep4 - temperature","TimeStep5 - temperature","TimeStep6 - temperature","TimeStep7 - temperature","TimeStep8 - temperature","TimeStep9 - temperature","TimeStep10 - temperature","TimeStep11 - temperature","TimeStep12 - temperature","TimeStep13 - temperature","TimeStep14 - temperature","TimeStep15 - temperature","TimeStep16 - temperature","TimeStep17 - temperature","TimeStep18 - temperature","TimeStep19 - temperature","TimeStep20 - temperature","TimeStep21 - temperature","TimeStep22 - temperature","TimeStep23 - temperature","TimeStep24 - temperature","TimeStep25 - temperature","TimeStep26 - temperature","TimeStep27 - temperature","TimeStep28 - temperature","TimeStep29 - temperature","TimeStep30 - temperature","TimeStep31 - temperature","TimeStep32 - temperature","TimeStep33 - temperature","TimeStep34 - temperature","TimeStep35 - temperature","TimeStep36 - temperature","TimeStep37 - temperature","TimeStep38 - temperature"
0.0,0.0,0.0,28.63565992765799,38.96025310934478,43.95760440673693,46.49927511357956,47.812084896713465,48.494408530828856,48.85002293449624,49.03559668450573,49.13249267065497,49.183099693100566,49.209534052952215,49.223342696529414,49.230556167226084,49.234324441797156,49.23629297654505,49.23732133533424,49.237858548580064,49.23813918819217,49.238285794051244,49.23836238081717,49.23840238967422,49.238423290265736,49.238434208715624,49.238439912504454,49.23844289215886,49.238444448728075,49.23844526187811,49.23844568666701,49.238445908576175,49.23844602450126,49.23844608506107,49.23844611669676,49.23844613322334,49.238446141857644,49.238446146367664,49.23844614872366,49.238446149953745,49.238446150596786
0.03333333333333333,0.0,0.0,25.474149829026732,35.70942128538883,40.68524180398899,43.217837327840776,44.526278235988414,45.20639739300287,45.560877670694786,45.745863000477975,45.84245254398083,45.892899704166716,45.91925060477483,45.93301566175905,45.94020636579937,45.94396274778452,45.945925070020714,45.94695018343789,45.947485701313354,45.94776545526808,45.94791159846133,45.94798794352985,45.94802782612511,45.948048660757856,45.948059544751494,45.94806523053947,45.948068200790495,45.94806975244689,45.94807056303152,45.94807098647897,45.948071207688145,45.948071323247646,45.94807138361603,45.94807141515243,45.94807143162639,45.948071440233186,45.94807144472879,45.948071447077254,45.94807144830436,45.948071448945406
0.06666666666666667,0.0,0.0,22.62168534326114,32.62355261854934,37.535782288143686,40.0414242405353,41.33688123738249,42.010447927830946,42.36155703509984,42.54479326503981,42.64047189045471,42.690443849580646,42.716546661773684,42.73018215449789,42.737305183007244,42.74102621341802,42.742970068510644,42.74398553482387,42.74451601308789,42.744793134360215,42.74493790224419,42.745013528853484,42.74505303612569,42.74507367468961,42.745084456257224,42.745090088539165,42.745093030837424,42.74509456789233,42.74509537084765,42.745095790311446,42.745096009438655,42.74509612391033,42.74509618371048,42.74509621494961,42.74509623126935,42.745096239794236,42.74509624424805,42.74509624657494,42.74509624779032,42.745096248425426
0.1,0.0,0.0,20.04813904613462,29.70288531814623,34.51208928838016,36.97370393229372,38.24792686935201,38.910774497267525,39.25636826064444,39.436742807687274,39.53093106898991,39.580125541192906,39.6058224493874,39.61924595835744,39.626258260958224,39.6299214516131,39.63183509206281,39.632834774461934,39.63335700726677,39.63362982112935,39.633772338828535,39.63384678994359,39.63388568313961,39.63390600091029,39.633916614896016,39.63392215963297,39.63392505619856,39.63392656936169,39.6339273598365,39.633927772779955,39.633927988501334,39.633928101194584,39.633928160064876,39.63392819081835,39.63392820688436,39.6339282152769,39.63392821966165,39.633928221952026,39.63392822314844,39.63392822377335
0.13333333333333333,0.0,0.0,17.727471245629832,26.948181719735448,31.618844009443748,34.02066372965279,35.26599909567657,35.91425801123713,36.252344340037794,36.42882339237822,36.52098283814681,36.56911891688718,36.59426326553742,36.60739819925259,36.61425976963171,36.61784422245534,36.61971673140769,36.62069492700268,36.62120593518061,36.621472885321744,36.62161233982175,36.62168519072513,36.62172324797152,36.62174312904353,36.621753514897954,36.62175894045908,36.62176177476732,36.62176325540755,36.62176402889253,36.62176443296072,36.62176464404536,36.62176475431594,36.62176481192079,36.621764842014,36.621764857734604,36.6217648659468,36.62176487023713,36.62176487247802,36.62176487364901,36.6217648742604
0.16666666666666666,0.0,0.0,15.637331946087615,24.360833731652626,28.862351373925016,31.190364217269888,32.39996737106549,33.03017111068988,33.35896449773303,33.53062126044445,33.62026913724863,33.66709496416811,33.691555261111695,33.70433294673294,33.711007914647745,33.714494892095615,33.716316481318614,33.717268076804174,33.71776518918171,33.71802488018731,33.71816054252507,33.71823141240713,33.71826843476998,33.718287775219935,33.71829787865383,33.71830315667844,33.71830591391393,33.71830735429164,33.71830810674359,33.71830849982387,33.7183087051684,33.71830881244025,33.718308868478935,33.71830889775354,33.71830891304663,33.71830892103557,33.718308925209286,33.718308927389394,33.7183089285284,33.718308929123424
0.2,0.0,0.0,13.758615948095297,21.942782417249248,26.25017045247253,28.492493815906673,29.66050985868044,30.269686122572626,30.587654375385885,30.753693300132888,30.8404151676219,30.88571451269269,30.90937786426725,30.921739341566738,30.92819690987191,30.931570324400298,30.93333258997858,30.934253195204626,30.934734118383766,30.934985352186075,30.935116596492698,30.935185158400742,30.935220975080416,30.935239685682266,30.93524946008385,30.935254566222756,30.935257233665457,30.935258627134964,30.935259355082284,30.935259735361328,30.935259934018966,30.935260037797033,30.935260092011024,30.935260120332398,30.935260135127265,30.935260142856183,30.935260146893633,30.935260149002787,30.93526015010475,30.935260150680254
0.23333333333333334,0.0,0.0,12.074937901161633,19.69620782263874,23.790507249861598,25.937658294359416,27.05935713357218,27.64509610316887,27.95099547901831,28.110770487492484,28.194229707413857,28.237826918706347,28.26060161378481,28.2724989846355,28.27871413415996,28.28196091643167,28.283657031109588,28.284543079560677,28.285005950404795,28.285247753705875,28.285374071532186,28.28544005985229,28.285474532092266,28.285492540359694,28.285501947863224,28.28550686233457,28.285509429650006,28.28551077081339,28.28551147143572,28.28551183744029,28.285512028640994,28.28551212852405,28.28551218070248,28.285512207960988,28.28551222220059,28.285512229639256,28.285512233525044,28.285512235555217,28.28551223661585,28.285512237169552
0.26666666666666666,0.0,0.0,10.572012087147352,17.622974823773603,21.491345312146603,23.536380136843366,24.608230445295167,25.16872250412839,25.46161712461578,25.614641676644244,25.694584654438906,25.736347392025237,25.75816432917859,25.769561502860824,25.775515381697332,25.77862568393091,25.780250503340515,25.781099307627855,25.78154272225376,25.781774361666635,25.781895369892535,25.781958584483295,25.781991607729815,25.78200885904483,25.78201787111666,25.782022579014793,25.78202503841691,25.782026323206093,25.78202699437901,25.782027344999346,25.782027528162722,25.782027623847295,25.78202767383295,25.782027699945072,25.782027713586285,25.782027720712204,25.78202772443504,25.782027726379617,25.78202772739573,25.782027727926316
0.3,0.0,0.0,9.236958102377116,15.723881729597514,19.359365208211234,21.29786488146855,22.31753439883036,22.851570651115125,23.13083274722178,23.276779952958176,23.35303619164337,23.3928754545154,23.413688155771716,23.424560856086906,23.430240783289104,23.433207981187998,23.434758044853858,23.435567797241305,23.435990811291084,23.436211793485278,23.436327234395456,23.43638754062691,23.436419044549027,23.436435502170802,23.43644409961777,23.436448590916093,23.436450937166914,23.436452162845946,23.436452803139574,23.43645313762853,23.436453312365394,23.43645340364746,23.436453451333485,23.436453476244363,23.436453489258014,23.4364534960563,23.436453499607403,23.436453501462648,23.436453502431693,23.436453502938164
