"X","Y","Z","TimeStep1 - temperature","TimeStep2 - temperature","TimeStep3 - temperature","TimeStep4 - temperature","TimeStep5 - temperature","TimeStep6 - temperature","TimeStep7 - temperature","TimeStep8 - temperature","TimeStep9 - temperature","TimeStep10 - temperature","TimeStep11 - temperature","TimeStep12 - temperature","TimeStep13 - temperature","TimeStep14 - temperature","TimeStep15 - temperature","TimeStep16 - temperature","TimeStep17 - temperature","TimeStep18 - temperature","TimeStep19 - temperature","TimeStep20 - temperature","TimeStep21 - temperature","TimeStep22 - temperature","TimeStep23 - temperature","TimeStep24 - temperature","TimeStep25 - temperature","TimeStep26 - temperature","TimeStep27 - temperature","TimeStep28 - temperature","TimeStep29 - temperature","TimeStep30 - temperature"
0.6333333333333333,0.16666666666666666,0.0,1.0170505232425178,1.9289351988537977,2.464841629573228,2.7327609608996477,2.857313375605156,2.913232224983385,2.9379073986791124,2.9487013468129684,2.953402222921942,2.95544488922616,2.9563314649106376,2.956716037930823,2.9568828054472727,2.9569551119925657,2.9569864599936997,2.9570000501612363,2.9570059417301073,2.9570084957990708,2.957009603014157,2.9570100830019723,2.9570102910807563,2.957010381284623,2.9570104203887233,2.9570104373406636,2.9570104446894607,2.957010447875223,2.957010449256274,2.957010449854979,2.9570104501145225,2.9570104502270307
0.6666666666666666,0.16666666666666666,0.0,0.8428074789123473,1.6226600467719057,2.0901894575406876,2.3266898807947443,2.4373662714511357,2.487234900457898,2.5092826723679225,2.5189370424313338,2.523143834653375,2.5249723050836606,2.5257660248886618,2.526110344260684,2.526259661551719,2.5263244033010204,2.526352471907156,2.5263646404319977,2.5263699157077664,2.5263722026088598,2.526373194004578,2.5263736237837775,2.526373810096743,2.5263738908649493,2.5263739258786195,2.526373941057324,2.5263739476374063,2.52637395048993,2.5263739517265233,2.5263739522625923,2.5263739524949806,2.5263739525957303
0.7,0.16666666666666666,0.0,0.6987300191944629,1.364623630285671,1.7714050303499072,1.9794936474164355,2.0774949777150336,2.121806660714007,2.141434231991963,2.150037303543019,2.153787930243435,2.155418563594887,2.1561265015019426,2.1564336299159512,2.156566823807979,2.1566245757573554,2.156649614190953,2.156660469103531,2.156665174916135,2.156667214950045,2.1566680993267995,2.1566684827124125,2.1566686489133935,2.1566687209628905,2.15666875219693,2.156668765737136,2.156668771606922,2.1566687741515245,2.156668775254623,2.15666877573283,2.156668775940132,2.156668776030005
0.7333333333333333,0.16666666666666666,0.0,0.57825391587367,1.144513262130799,1.4964994557482354,1.678446835272528,1.7646490757388364,1.803754058831276,1.8211059998846768,1.828718739682529,1.8320392397977905,1.8334832359279112,1.8341102273998955,1.8343822566621515,1.8345002329910112,1.8345513876104635,1.83457356596232,1.834583180987704,1.8345873492952085,1.834589156315475,1.834589939678774,1.8345902792742126,1.8345904264917987,1.834590490311841,1.83459051797835,1.8345905299720011,1.8345905351713427,1.8345905374253006,1.8345905384024093,1.8345905388259907,1.83459053900962,1.8345905390892225
0.7666666666666666,0.16666666666666666,0.0,0.47594000999854147,0.953586936093713,1.2552050762500062,1.4126038417085944,1.4875830856546994,1.5216996252617787,1.536862724712792,1.5435209068737308,1.5464263635441442,1.5476901648465788,1.548238981116251,1.548477107760472,1.5485803841620611,1.5486251656133154,1.5486445810067115,1.5486529982369752,1.5486566472840397,1.548658229199312,1.5486589149774925,1.5486592122689375,1.5486593411473888,1.548659397017272,1.5486594212373206,1.5486594317369058,1.5486594362885586,1.5486594382617354,1.548659439117125,1.5486594394879407,1.5486594396486948,1.5486594397183802
0.8,0.16666666666666666,0.0,0.38744099013571687,0.7847825968543011,1.0392054868304241,1.173097301450373,1.2371886052532395,1.2664296262856394,1.2794447492224117,1.2851641692575295,1.2876609872999099,1.2887472699237652,1.2892190485785398,1.2894237607254306,1.2895125476848117,1.2895510469665417,1.289567738795133,1.2895749752955694,1.2895781124774488,1.2895794724930338,1.2895800620754836,1.289580317665221,1.2895804284656314,1.2895804764985355,1.2895804973211882,1.2895805063479742,1.2895805102611604,1.2895805119575603,1.289580512692959,1.289580513011759,1.2895805131499665,1.2895805132098748
0.8333333333333334,0.16666666666666666,0.0,0.3093819298244177,0.6326181912206628,0.8420753484251546,0.9531038845031906,1.0064736228560502,1.030879796823864,1.0417566617027958,1.0465396476476647,1.048628400646073,1.0495373143075113,1.049932098013148,1.0501034091921477,1.0501777114696258,1.0502099304003194,1.0502238993981265,1.0502299554749257,1.0502325809216981,1.0502337190933935,1.0502342125041773,1.050234426402606,1.0502345191294788,1.0502345593273539,1.050234576753461,1.0502345843078182,1.0502345875826908,1.0502345890023774,1.05023458961782,1.050234589884621,1.0502345900002776,1.0502345900504195
0.8666666666666667,0.16666666666666666,0.0,0.2391544006618698,0.4928852931080245,0.6589326123670689,0.7474791174021421,0.790189920792219,0.8097595672925472,0.8184901576820386,0.8223314927123265,0.8240095158194822,0.8247398135780858,0.825057041148107,0.8251947034712777,0.8252544125798581,0.8252803039019305,0.8252915295319996,0.8252963962710697,0.8252985061159376,0.8252994207669141,0.8252998172789889,0.8252999891709091,0.8253000636875885,0.8253000959911992,0.8253001099950775,0.8253001160658698,0.8253001186976069,0.8253001198384855,0.8253001203330648,0.8253001205474704,0.8253001206404176,0.8253001206807097
0.9,0.16666666666666666,0.0,0.17469559311176786,0.3622841748343976,0.4859987391508653,0.5522813358522722,0.5843402440412732,0.599051691169936,0.6056203362761583,0.6085117231042866,0.6097750705323112,0.6103249624514797,0.6105638400619129,0.6106675054052906,0.6107124695413151,0.6107319672493283,0.6107404208540484,0.6107440858224138,0.610745674673446,0.610746363465783,0.610746662065541,0.6107467915115173,0.6107468476275096,0.610746871954265,0.610746882500111,0.6107468870718222,0.6107468890536922,0.6107468899128495,0.6107468902853015,0.6107468904467616,0.6107468905167568,0.6107468905471011
0.9333333333333333,0.16666666666666666,0.0,0.11430633530033886,0.23811530301566367,0.320221498682656,0.3643601971578797,0.3857506275933901,0.3955772098491388,0.39996738893912387,0.40190047425274744,0.4027452480192252,0.4031129812434205,0.40327273481947984,0.40334206444083465,0.40337213605014044,0.4033851760213108,0.40339082976818785,0.4033932808925484,0.4033943435141709,0.4033948041778338,0.4033950038811105,0.4033950904544844,0.40339512798482047,0.40339514425453754,0.4033951513075929,0.4033951543651485,0.4033951556906233,0.4033951562652283,0.4033951565143234,0.40339515662230796,0.40339515666912035,0.4033951566894134
